id	sample	exon	fq1	fq2
1	Tvt4-product	exon1	Product-ex-1_R1_001.fastq.gz	Product-ex-1_R2_001.fastq.gz
2	Tvt4-product	exon2	Product-ex-2_R1_001.fastq.gz	Product-ex-2_R2_001.fastq.gz
3	Tvt4-product	exon3	Product-ex-3_R1_001.fastq.gz	Product-ex-3_R2_001.fastq.gz
4	Tvt4-product	exon4	Product-ex-4_R1_001.fastq.gz	Product-ex-4_R2_001.fastq.gz
5	Tvt4-relapse	exon1	TvT-pt4-ex-1_R1_001.fastq.gz	TvT-pt4-ex-1_R2_001.fastq.gz
6	Tvt4-relapse	exon2	TvT-pt4-ex-2_R1_001.fastq.gz	TvT-pt4-ex-2_R2_001.fastq.gz
7	Tvt4-relapse	exon3	TvT-pt4-ex-3_R1_001.fastq.gz	TvT-pt4-ex-3_R2_001.fastq.gz
8	Tvt4-relapse	exon4	TvT-pt4-ex-4_R1_001.fastq.gz	TvT-pt4-ex-4_R2_001.fastq.gz
9	Tvt4-OB	exon1	TvT-pt4-OB-ex-1_R1_001.fastq.gz	TvT-pt4-OB-ex-1_R2_001.fastq.gz
10	Tvt4-OB	exon2	TvT-pt4-OB-ex-2_R1_001.fastq.gz	TvT-pt4-OB-ex-2_R2_001.fastq.gz
11	Tvt4-OB	exon3	TvT-pt4-OB-ex-3_R1_001.fastq.gz	TvT-pt4-OB-ex-3_R2_001.fastq.gz
12	Tvt4-OB	exon4	TvT-pt4-OB-ex-4_R1_001.fastq.gz	TvT-pt4-OB-ex-4_R2_001.fastq.gz
13	Tvt4-pre	exon1	TvT-pt4-Pre-ex-1_R1_001.fastq.gz	TvT-pt4-Pre-ex-1_R2_001.fastq.gz
14	Tvt4-pre	exon2	TvT-pt4-Pre-ex-2_R1_001.fastq.gz	TvT-pt4-Pre-ex-2_R2_001.fastq.gz
15	Tvt4-pre	exon3	TvT-pt4-Pre-ex-3_R1_001.fastq.gz	TvT-pt4-Pre-ex-3_R2_001.fastq.gz
